fold,year,sl_i,sl_j,corr,IC_i,IC_j
Fold_2015-2019_train_SSL,2020,3,5,0.5909295082092285,0.034709107130765915,0.044452834874391556
Fold_2015-2019_train_SSL,2020,3,8,0.4675561189651489,0.034709107130765915,0.04805145412683487
Fold_2015-2019_train_SSL,2020,3,10,0.42187005281448364,0.034709107130765915,0.04979213699698448
Fold_2015-2019_train_SSL,2020,3,20,0.3486626148223877,0.034709107130765915,0.05635843798518181
Fold_2015-2019_train_SSL,2020,3,30,0.3354407846927643,0.034709107130765915,0.05837051570415497
Fold_2015-2019_train_SSL,2020,5,8,0.6763850450515747,0.044452834874391556,0.04805145412683487
Fold_2015-2019_train_SSL,2020,5,10,0.5941329598426819,0.044452834874391556,0.04979213699698448
Fold_2015-2019_train_SSL,2020,5,20,0.4695185422897339,0.044452834874391556,0.05635843798518181
Fold_2015-2019_train_SSL,2020,5,30,0.4327571392059326,0.044452834874391556,0.05837051570415497
Fold_2015-2019_train_SSL,2020,8,10,0.7866284847259521,0.04805145412683487,0.04979213699698448
Fold_2015-2019_train_SSL,2020,8,20,0.5672422051429749,0.04805145412683487,0.05635843798518181
Fold_2015-2019_train_SSL,2020,8,30,0.5094264149665833,0.04805145412683487,0.05837051570415497
Fold_2015-2019_train_SSL,2020,10,20,0.6339046359062195,0.04979213699698448,0.05635843798518181
Fold_2015-2019_train_SSL,2020,10,30,0.542987048625946,0.04979213699698448,0.05837051570415497
Fold_2015-2019_train_SSL,2020,20,30,0.748701810836792,0.05635843798518181,0.05837051570415497
Fold_2015-2020_train_SSL,2021,3,5,0.6259739995002747,0.021391984075307846,0.026923812925815582
Fold_2015-2020_train_SSL,2021,3,8,0.5116525888442993,0.021391984075307846,0.03000316396355629
Fold_2015-2020_train_SSL,2021,3,10,0.4689894914627075,0.021391984075307846,0.02999095432460308
Fold_2015-2020_train_SSL,2021,3,20,0.39534470438957214,0.021391984075307846,0.031834520399570465
Fold_2015-2020_train_SSL,2021,3,30,0.365783154964447,0.021391984075307846,0.03353403881192207
Fold_2015-2020_train_SSL,2021,5,8,0.7212412357330322,0.026923812925815582,0.03000316396355629
Fold_2015-2020_train_SSL,2021,5,10,0.6431929469108582,0.026923812925815582,0.02999095432460308
Fold_2015-2020_train_SSL,2021,5,20,0.5172107815742493,0.026923812925815582,0.031834520399570465
Fold_2015-2020_train_SSL,2021,5,30,0.4674641489982605,0.026923812925815582,0.03353403881192207
Fold_2015-2020_train_SSL,2021,8,10,0.8283548355102539,0.03000316396355629,0.02999095432460308
Fold_2015-2020_train_SSL,2021,8,20,0.6277350783348083,0.03000316396355629,0.031834520399570465
Fold_2015-2020_train_SSL,2021,8,30,0.556063175201416,0.03000316396355629,0.03353403881192207
Fold_2015-2020_train_SSL,2021,10,20,0.678910493850708,0.02999095432460308,0.031834520399570465
Fold_2015-2020_train_SSL,2021,10,30,0.5888193249702454,0.02999095432460308,0.03353403881192207
Fold_2015-2020_train_SSL,2021,20,30,0.7846092581748962,0.031834520399570465,0.03353403881192207
Fold_2015-2021_train_SSL,2022,3,5,0.6321834325790405,0.01818852312862873,0.022484708577394485
Fold_2015-2021_train_SSL,2022,3,8,0.5121178030967712,0.01818852312862873,0.023275142535567284
Fold_2015-2021_train_SSL,2022,3,10,0.47197914123535156,0.01818852312862873,0.02365499921143055
Fold_2015-2021_train_SSL,2022,3,20,0.4094220995903015,0.01818852312862873,0.026967838406562805
Fold_2015-2021_train_SSL,2022,3,30,0.35444438457489014,0.01818852312862873,0.02902437187731266
Fold_2015-2021_train_SSL,2022,5,8,0.7310196757316589,0.022484708577394485,0.023275142535567284
Fold_2015-2021_train_SSL,2022,5,10,0.6588367819786072,0.022484708577394485,0.02365499921143055
Fold_2015-2021_train_SSL,2022,5,20,0.5370373725891113,0.022484708577394485,0.026967838406562805
Fold_2015-2021_train_SSL,2022,5,30,0.4538615643978119,0.022484708577394485,0.02902437187731266
Fold_2015-2021_train_SSL,2022,8,10,0.8392189145088196,0.023275142535567284,0.02365499921143055
Fold_2015-2021_train_SSL,2022,8,20,0.6420385241508484,0.023275142535567284,0.026967838406562805
Fold_2015-2021_train_SSL,2022,8,30,0.5371718406677246,0.023275142535567284,0.02902437187731266
Fold_2015-2021_train_SSL,2022,10,20,0.6964761018753052,0.02365499921143055,0.026967838406562805
Fold_2015-2021_train_SSL,2022,10,30,0.5742393136024475,0.02365499921143055,0.02902437187731266
Fold_2015-2021_train_SSL,2022,20,30,0.7696972489356995,0.026967838406562805,0.02902437187731266
Fold_2015-2022_train_SSL,2023,3,5,0.6369965076446533,0.016842400655150414,0.018644388765096664
Fold_2015-2022_train_SSL,2023,3,8,0.5072858333587646,0.016842400655150414,0.01848658174276352
Fold_2015-2022_train_SSL,2023,3,10,0.4736241102218628,0.016842400655150414,0.01955704763531685
Fold_2015-2022_train_SSL,2023,3,20,0.38902342319488525,0.016842400655150414,0.022201385349035263
Fold_2015-2022_train_SSL,2023,3,30,0.3596169054508209,0.016842400655150414,0.025078056380152702
Fold_2015-2022_train_SSL,2023,5,8,0.7255052924156189,0.018644388765096664,0.01848658174276352
Fold_2015-2022_train_SSL,2023,5,10,0.655353307723999,0.018644388765096664,0.01955704763531685
Fold_2015-2022_train_SSL,2023,5,20,0.5094361305236816,0.018644388765096664,0.022201385349035263
Fold_2015-2022_train_SSL,2023,5,30,0.4481073021888733,0.018644388765096664,0.025078056380152702
Fold_2015-2022_train_SSL,2023,8,10,0.8401264548301697,0.01848658174276352,0.01955704763531685
Fold_2015-2022_train_SSL,2023,8,20,0.626294732093811,0.01848658174276352,0.022201385349035263
Fold_2015-2022_train_SSL,2023,8,30,0.536884605884552,0.01848658174276352,0.025078056380152702
Fold_2015-2022_train_SSL,2023,10,20,0.684296727180481,0.01955704763531685,0.022201385349035263
Fold_2015-2022_train_SSL,2023,10,30,0.5768439173698425,0.01955704763531685,0.025078056380152702
Fold_2015-2022_train_SSL,2023,20,30,0.7779106497764587,0.022201385349035263,0.025078056380152702
Fold_2015-2023_train_SSL,2024,3,5,0.638816237449646,0.01722935400903225,0.02091820538043976
Fold_2015-2023_train_SSL,2024,3,8,0.5132966637611389,0.01722935400903225,0.021910926327109337
Fold_2015-2023_train_SSL,2024,3,10,0.4730464220046997,0.01722935400903225,0.022414619103074074
Fold_2015-2023_train_SSL,2024,3,20,0.3958430886268616,0.01722935400903225,0.01980227790772915
Fold_2015-2023_train_SSL,2024,3,30,0.3415967524051666,0.01722935400903225,0.018482603132724762
Fold_2015-2023_train_SSL,2024,5,8,0.7375754714012146,0.02091820538043976,0.021910926327109337
Fold_2015-2023_train_SSL,2024,5,10,0.6618182063102722,0.02091820538043976,0.022414619103074074
Fold_2015-2023_train_SSL,2024,5,20,0.5160646438598633,0.02091820538043976,0.01980227790772915
Fold_2015-2023_train_SSL,2024,5,30,0.43293115496635437,0.02091820538043976,0.018482603132724762
Fold_2015-2023_train_SSL,2024,8,10,0.844221830368042,0.021910926327109337,0.022414619103074074
Fold_2015-2023_train_SSL,2024,8,20,0.626596987247467,0.021910926327109337,0.01980227790772915
Fold_2015-2023_train_SSL,2024,8,30,0.517062246799469,0.021910926327109337,0.018482603132724762
Fold_2015-2023_train_SSL,2024,10,20,0.6882673501968384,0.022414619103074074,0.01980227790772915
Fold_2015-2023_train_SSL,2024,10,30,0.5610411167144775,0.022414619103074074,0.018482603132724762
Fold_2015-2023_train_SSL,2024,20,30,0.7724139094352722,0.01980227790772915,0.018482603132724762
Fold_2015-2024_train_SSL,2025,3,5,0.6488367915153503,0.01723104901611805,0.019435640424489975
Fold_2015-2024_train_SSL,2025,3,8,0.5244461894035339,0.01723104901611805,0.018414149060845375
Fold_2015-2024_train_SSL,2025,3,10,0.4773615002632141,0.01723104901611805,0.01817854307591915
Fold_2015-2024_train_SSL,2025,3,20,0.3846779465675354,0.01723104901611805,0.015581022016704082
Fold_2015-2024_train_SSL,2025,3,30,0.35747164487838745,0.01723104901611805,0.015666961669921875
Fold_2015-2024_train_SSL,2025,5,8,0.7419883012771606,0.019435640424489975,0.018414149060845375
Fold_2015-2024_train_SSL,2025,5,10,0.6609476804733276,0.019435640424489975,0.01817854307591915
Fold_2015-2024_train_SSL,2025,5,20,0.5077475905418396,0.019435640424489975,0.015581022016704082
Fold_2015-2024_train_SSL,2025,5,30,0.4423815608024597,0.019435640424489975,0.015666961669921875
Fold_2015-2024_train_SSL,2025,8,10,0.8470540642738342,0.018414149060845375,0.01817854307591915
Fold_2015-2024_train_SSL,2025,8,20,0.6230167746543884,0.018414149060845375,0.015581022016704082
Fold_2015-2024_train_SSL,2025,8,30,0.5274747610092163,0.018414149060845375,0.015666961669921875
Fold_2015-2024_train_SSL,2025,10,20,0.6831218600273132,0.01817854307591915,0.015581022016704082
Fold_2015-2024_train_SSL,2025,10,30,0.5679754018783569,0.01817854307591915,0.015666961669921875
Fold_2015-2024_train_SSL,2025,20,30,0.7771772146224976,0.015581022016704082,0.015666961669921875
